Code,Type (a-polit; b-özdem.),points (x-answersheet missing),PercentageMock,GradeMock
199,b,3.0,94.0,1.3
26o,b,21.0,57.99999999999999,3.7
467,a,21.0,57.99999999999999,3.7
685,b,12.0,76.0,2.3
843,a,18.0,64.0,3.3
0dz,a,12.0,76.0,2.3
0fo,b,15.0,70.0,2.7
om3,b,21.0,57.99999999999999,3.7
15f,a,27.0,46.0,5.0
199,b,12.0,76.0,2.3
1a7,b,30.0,40.0,5.0
1cb,b,18.0,64.0,3.3
1ds,a,18.0,64.0,3.3
1ey,a,15.0,70.0,2.7
1k3,b,24.0,52.0,4.0
1n8,b,18.0,64.0,3.3
1ru,a,21.0,57.99999999999999,3.7
1zx,a,22.0,56.00000000000001,3.7
20r,a,18.0,64.0,3.3
24s,a,24.0,52.0,4.0
28t,a,15.0,70.0,2.7
2fc,a,29.0,42.0,5.0
2g7,a,26.0,48.0,5.0
2k4,b,12.0,76.0,2.3
2wb,b,15.0,70.0,2.7
30d,a,15.0,70.0,2.7
3s1,b,18.0,64.0,3.3
39j,b,30.0,40.0,5.0
3dg,b,18.0,64.0,3.3
3ue,b,18.0,64.0,3.3
3z0,a,27.0,46.0,5.0
44p,a,29.0,42.0,5.0
4aw,a,,,5.0
4og,a,12.0,76.0,2.3
4w0,a,30.0,40.0,5.0
4z1,a,15.0,70.0,2.7
58c,a,,,5.0
5ci,b,3.0,94.0,1.3
5ga,a,12.0,76.0,2.3
5nw,a,3.0,94.0,1.3
5sz,a,21.0,57.99999999999999,3.7
5ul,b,20.0,60.0,3.3
6b9,b,23.0,54.0,4.0
6hy,a,20.0,60.0,3.3
6nj,a,27.0,46.0,5.0
6qi,a,15.0,70.0,2.7
6t0,b,23.0,54.0,4.0
tuf,a,18.0,64.0,3.3
6z8,b,23.0,54.0,4.0
70l,b,29.0,42.0,5.0
7a9,b,15.0,70.0,2.7
7mf,a,23.0,54.0,4.0
7w1,b,6.0,88.0,1.7
7y2,a,26.0,48.0,5.0
87a,b,9.0,82.0,2.0
8bz,b,9.0,82.0,2.0
8dw,a,18.0,64.0,3.3
8fi,b,23.0,54.0,4.0
8ke,b,27.0,46.0,5.0
8lm,b,18.0,64.0,3.3
8mx,b,20.0,60.0,3.3
8ql,a,9.0,82.0,2.0
8wd,a,18.0,64.0,3.3
95j,b,15.0,70.0,2.7
98q,b,21.0,57.99999999999999,3.7
99v,a,18.0,64.0,3.3
9im,a,2.0,96.0,1.0
9jr,b,18.0,64.0,3.3
9vw,a,15.0,70.0,2.7
a3g,a,12.0,76.0,2.3
afp,a,18.0,64.0,3.3
ak1,a,24.0,52.0,4.0
aq6,a,15.0,70.0,2.7
ats,b,24.0,52.0,4.0
b9u,a,12.0,76.0,2.3
bf1,b,27.0,46.0,5.0
bjp,a,21.0,57.99999999999999,3.7
bty,a,30.0,40.0,5.0
c38,b,18.0,64.0,3.3
cav,b,14.0,72.0,2.7
cbf,a,3.0,94.0,1.3
cos,b,30.0,40.0,5.0
cp4,b,23.0,54.0,4.0
ctx,a,18.0,64.0,3.3
cuz,b,33.0,34.0,5.0
cwn,b,9.0,82.0,2.0
dky,b,27.0,46.0,5.0
dn0,a,15.0,70.0,2.7
doe,b,9.0,82.0,2.0
dq4,a,18.0,64.0,3.3
dzv,a,21.0,57.99999999999999,3.7
e30,a,24.0,52.0,4.0
e42,b,33.0,34.0,5.0
e6v,b,15.0,70.0,2.7
e8i,b,6.0,88.0,1.7
efu,a,9.0,82.0,2.0
epz,a,15.0,70.0,2.7
erw,b,15.0,70.0,2.7
f1r,a,11.0,78.0,2.3
f4b,a,9.0,82.0,2.0
f7n,a,21.0,57.99999999999999,3.7
ff5,a,18.0,64.0,3.3
fkp,b,25.0,50.0,4.0
fle,a,9.0,82.0,2.0
fno,b,29.0,42.0,5.0
fph,b,14.0,72.0,2.7
fsu,a,5.0,90.0,1.3
fw2,b,3.0,94.0,1.3
fyg,b,21.0,57.99999999999999,3.7
go4,a,15.0,70.0,2.7
g52,a,15.0,70.0,2.7
g8f,b,27.0,46.0,5.0
gd8,a,12.0,76.0,2.3
gh9,a,18.0,64.0,3.3
gpm,a,33.0,34.0,5.0
h3h,a,9.0,82.0,2.0
hcw,a,21.0,57.99999999999999,3.7
hjk,a,23.0,54.0,4.0
hxt,a,20.0,60.0,3.3
hyf,a,6.0,88.0,1.7
i49,b,15.0,70.0,2.7
i8x,a,26.0,48.0,5.0
i9d,a,23.0,54.0,4.0
ier,a,9.0,82.0,2.0
iqk,b,21.0,57.99999999999999,3.7
it8,a,21.0,57.99999999999999,3.7
iy3,a,33.0,34.0,5.0
j0g,b,21.0,57.99999999999999,3.7
jed,b,27.0,46.0,5.0
jne,a,18.0,64.0,3.3
joy,a,29.0,42.0,5.0
k3y,a,6.0,88.0,1.7
k8p,b,26.0,48.0,5.0
ka0,b,20.0,60.0,3.3
kd6,a,9.0,82.0,2.0
kfs,a,12.0,76.0,2.3
klf,a,14.0,72.0,2.7
l7r,a,3.0,94.0,1.3
li1,a,26.0,48.0,5.0
ljz,a,14.0,72.0,2.7
m7x,b,18.0,64.0,3.3
m80,b,21.0,57.99999999999999,3.7
mjb,a,15.0,70.0,2.7
msn,b,17.0,66.0,3.0
mtz,a,15.0,70.0,2.7
n3q,b,21.0,57.99999999999999,3.7
n4r,b,18.0,64.0,3.3
n64,b,12.0,76.0,2.3
nre,b,14.0,72.0,2.7
oae,a,9.0,82.0,2.0
obm,b,15.0,70.0,2.7
oev,b,15.0,70.0,2.7
oi6,a,12.0,76.0,2.3
oev,b,3.0,94.0,1.3
osf,b,35.0,30.0,5.0
pgw,a,24.0,52.0,4.0
ph3,b,15.0,70.0,2.7
pkl,a,23.0,54.0,4.0
poi,a,12.0,76.0,2.3
pr2,a,17.0,66.0,3.0
q9a,a,27.0,46.0,5.0
qdi,b,12.0,76.0,2.3
qhg,a,9.0,82.0,2.0
qip,b,0.0,100.0,1.0
qlq,b,28.0,44.0,5.0
qoh,b,27.0,46.0,5.0
qyx,b,15.0,70.0,2.7
r3x,a,23.0,54.0,4.0
r75,b,12.0,76.0,2.3
r9o,b,18.0,64.0,3.3
rcd,b,6.0,88.0,1.7
ren,b,24.0,52.0,4.0
