Code;"Type (a-polit; b-özdem.)";points (x-answersheet missing)
199;b;3
260;b;21
467;a;21
685;b;12
843;a;18
0dz;a;12
0fo;b;15
0m3;b;21
15q (?);a;27
19e;b;12
1a7;b;30
1cb;b;18
1ds;a;18
1ey;a;15
1k3;b;24
1n8;b;18
1ru (?);a;21
1zx;a;22
20r;a;18
24s;a;24
28t;a;15
2fc;a;29
2g7;a;26
2k4;b;12
2wb;b;15
30d;a;15
351 (?) 361(?);b;18
39j;b;30
3dg;b;18
3ue;b;18
3z0;a;27
44p;a;29
4aw;a;
4og;a;12
4wo;a;30
4z1;a;15
58c;a;x
5ci;b;3
5ga;a;12
5nw;a;3
5sz;a;21
5ul;b;20
6b9;b;23
6hy;a;20
6nj;a;27
6qi;a;15
6t0;b;23
6uf;a;18
6z8;b;23
70l;b;29
7a9;b;15
7mf;a;23
7w1;b;6
7y2;a;26
87a;b;9
8bz;b;9
8dw;a;18
8fi;b;23
8ke;b;27
8lm;b;18
8mx;b;20
8ql;a;9
8wd;a;18
95j;b;15
98q;b;21
99v;a;18
9im;a;2
9jr;b;18
9vw;a;15
a3g;a;12
afp;a;18
ak1;a;24
aq6;a;15
ats;b;24
b9u;a;12
bf1;b;27
bjp;a;21
bty;a;30
c38;b;18
cau;b;14
cbf;a;3
cos;b;30
cp4;b;23
ctx;a;18
cuz;b;33
cwn;b;9
dky;b;27
dn0;a;15
doe;b;9
dq4;a;18
dzv;a;21
e30;a;24
e42;b;33
e6v;b;15
e8i;b;6
efu/ efn;a;9
epz;a;15
erw;b;15
f1r;a;11
f4b;a;9
f7n;a;21
ff5;a;18
fkp;b;25
fle;a;9
fno;b;29
fph;b;14
fsu;a;5
fw2;b;3
fyg;b;21
g04;a;15
g52;a;15
g8f;b;27
gd8;a;12
gh9;a;18
gpm;a;33
h3h;a;9
hcw;a;21
hjk;a;23
hxt;a;20
hyf;a;6
i49;b;15
i8x;a;26
i9d;a;23
ier;a;9
iqk;b;21
it8;a;21
iy3;a;33
j0g;b;21
jed;b;27
jne;a;18
joy;a;29
k3y;a;6
k8p;b;26
ka0;b;20
kd6;a;9
kfs;a;12
klf;a;14
l7r;a;3
li1;a;26
ljz;a;14
m7x;b;18
m80;b;21
mjb;a;15
msn;b;17
mtz;a;15
n3q;b;21
n4r;b;18
n64;b;12
nre;b;14
oae;a;9
obm;b;15
oev;b;15
oi6;a;12
oov;b;3
osf;b;35
pgw;a;24
ph3;b;15
pkl;a;23
poi;a;12
pr2;a;17
q9a;a;27
qdi;b;12
qhg;a;9
qip;b;0
qlq;b;28
qoh;b;27
qyx;b;15
r3x;a;23
r75;b;12
r9o;b;18
rcd;b;6
ren;b;24
rji;a;6
rvu;a;18
s44;a;9
suv;b;12
swx (?);a;20
t6m;a;11
tas;b;12
tmy;a;12
tuf;a;30
twq;b;12
u5b;b;12
udo;a;26
ump;a;12
un5;b;17
upq;b;9
uqn;b;9
uzs;a;18
vhs;b;29
vja;b;24
vkx;b;15
vpi;b;9
vrj;b;9
vug;a;12
w10;a;24
w9x;a;21
wep;a;18
wom;b;6
wto;a;3
wu1;a;35
wv9;b;23
xfz;b;6
xlt;b;9
y03;b;27
yby;a;15
yc4;b;x
yo0;b;27
yvz;b;6
yws;a;23
yyj;b;15
z63;b;12
zda;a;15
zfv;b;24
zit;a;18
zme;b;15
zrm;a;12
zvr;a;18
mehendiran;b;18
