Label,Aquaintance,Friend,Study,Support,Politics,OldFriend,Grade,LeftRight,Group,Migration Culture,Migration Economy
9sx,[],[],[],[],[],[],[],[],[],[],[]
kq7,"['zrm', 'mjb', 'cx9']","['zrm', 'mjb', 'cx9']",[],[],[],[],"[('zrm', 2.3), ('mjb', 2.7), ('cx9', 3.0)]","[('zrm', 4.0), ('mjb', 4.0), ('cx9', 3.0)]","[('zrm', 2.0), ('mjb', 2.0), ('cx9', 2.0)]","[('zrm', 4.0), ('mjb', 4.0), ('cx9', 4.0)]","[('zrm', 6.0), ('mjb', 7.0), ('cx9', 7.0)]"
ff5,[],[],[],[],[],[],[],[],[],[],[]
k05,['scs'],['scs'],[],['scs'],[],[],"[('scs', 3.3)]","[('scs', 6.0)]","[('scs', 1.0)]","[('scs', 2.0)]","[('scs', 5.0)]"
hpc,"['tz9', 'ff5']",['tz9'],[],[],['tz9'],['ff5'],"[('ff5', 2.0)]","[('ff5', 2.0)]","[('tz9', 1.0), ('ff5', 1.0)]","[('tz9', 3.0), ('ff5', 1.0)]","[('tz9', 3.0), ('ff5', 4.0)]"
8st,[],[],[],[],[],[],[],[],[],[],[]
tz9,[],[],[],[],[],[],[],[],[],[],[]
v0p,"['xlt', 'xfz', 'xxy']",[],"['xlt', 'xfz', 'xxy']",[],[],[],"[('xlt', 0), ('xfz', 0), ('xxy', 0)]","[('xlt', 5.0), ('xfz', 5.0), ('xxy', 5.0)]","[('xlt', 1.0), ('xfz', 2.0), ('xxy', 3.0)]","[('xlt', 0.0), ('xfz', 0.0), ('xxy', 0.0)]","[('xlt', 0.0), ('xfz', 0.0), ('xxy', 0.0)]"
2hp,[],[],[],[],[],[],[],[],[],[],[]
j1i,['g1x'],['g1x'],['g1x'],['g1x'],[],['g1x'],"[('g1x', 2.0)]","[('g1x', 5.0)]","[('g1x', 1.0)]","[('g1x', 4.0)]","[('g1x', 4.0)]"
g1x,['j1i'],['j1i'],['j1i'],['j1i'],[],['j1i'],"[('j1i', 3.0)]","[('j1i', 3.0)]",[],"[('j1i', 5.0)]","[('j1i', 6.0)]"
