app_demographic.1.player.age,app_demographic.1.player.edu_family_1gen_f,app_demographic.1.player.edu_family_1gen_m,app_demographic.1.player.edu_family_2gen_f1,app_demographic.1.player.edu_family_2gen_f2,app_demographic.1.player.edu_family_2gen_m1,app_demographic.1.player.edu_family_2gen_m2,app_demographic.1.player.financial_situation_general_current,app_demographic.1.player.financial_situation_general_future,app_demographic.1.player.financial_situation_personal_current,app_demographic.1.player.financial_situation_personal_future,app_demographic.1.player.gender,app_demographic.1.player.postcode,app_demographic.1.player.secondary_year,app_demographic.1.player.time_work,app_end.1.player.feedback,app_end.1.player.network_narrative,app_end.1.player.rnumbercheck,app_end.1.player.time_endpage,app_end.1.player.time_firstendpage,app_migration.1.player.migration_border,app_migration.1.player.migration_culture,app_migration.1.player.migration_eco,app_migration.1.player.migration_limit,app_migration.1.player.migration_return,app_migration.1.player.migration_social,app_network.1.player.linksrechts_self,app_political.1.player.lr_AfD,app_political.1.player.lr_BSW,app_political.1.player.lr_CDU,app_political.1.player.lr_CSU,app_political.1.player.lr_FDP,app_political.1.player.lr_Gruene,app_political.1.player.lr_Linke,app_political.1.player.lr_SPD,app_political.1.player.participation_demonstration,app_political.1.player.petition_signatory,app_political.1.player.politics_question_five,app_political.1.player.politics_question_four,app_political.1.player.politics_question_one,app_political.1.player.politics_question_seven,app_political.1.player.politics_question_six,app_political.1.player.politics_question_three,app_political.1.player.politics_question_two,app_political.1.player.scalo_afd,app_political.1.player.scalo_bsw,app_political.1.player.scalo_cdu,app_political.1.player.scalo_csu,app_political.1.player.scalo_fdp,app_political.1.player.scalo_gruene,app_political.1.player.scalo_linke,app_political.1.player.scalo_pep1,app_political.1.player.scalo_pep10,app_political.1.player.scalo_pep11,app_political.1.player.scalo_pep12,app_political.1.player.scalo_pep13,app_political.1.player.scalo_pep14,app_political.1.player.scalo_pep15,app_political.1.player.scalo_pep16,app_political.1.player.scalo_pep17,app_political.1.player.scalo_pep18,app_political.1.player.scalo_pep19,app_political.1.player.scalo_pep2,app_political.1.player.scalo_pep20,app_political.1.player.scalo_pep3,app_political.1.player.scalo_pep4,app_political.1.player.scalo_pep5,app_political.1.player.scalo_pep6,app_political.1.player.scalo_pep7,app_political.1.player.scalo_pep8,app_political.1.player.scalo_pep9,app_political.1.player.scalo_spd,app_political.1.player.social_networks_1,app_political.1.player.social_networks_10,app_political.1.player.social_networks_11,app_political.1.player.social_networks_12,app_political.1.player.social_networks_13,app_political.1.player.social_networks_2,app_political.1.player.social_networks_3,app_political.1.player.social_networks_4,app_political.1.player.social_networks_5,app_political.1.player.social_networks_6,app_political.1.player.social_networks_7,app_political.1.player.social_networks_8,app_political.1.player.social_networks_9,app_political.1.player.sunday_party_vote,app_start.1.player.browser,app_start.1.player.device_type,app_start.1.player.lang,app_start.1.player.operating_system,app_start.1.player.use_of_device,app_studium.1.player.affective_academic_stress,app_studium.1.player.consecutive_academic_career,app_studium.1.player.fresherscamp_student,app_studium.1.player.freshersweek_student,app_studium.1.player.grade,app_studium.1.player.motivation_extrinsic_goal_1,app_studium.1.player.motivation_extrinsic_goal_2,app_studium.1.player.motivation_extrinsic_goal_3,app_studium.1.player.motivation_extrinsic_goal_4,app_studium.1.player.motivation_intrinsic_goal_1,app_studium.1.player.motivation_intrinsic_goal_2,app_studium.1.player.motivation_intrinsic_goal_3,app_studium.1.player.resource_help,app_studium.1.player.resource_peer,app_studium.1.player.resource_time,app_studium.1.player.semester_of_study,app_studium.1.player.study_program,app_studium.1.player.time_class,app_studium.1.player.tutorial,participant.label,participant.time_started_utc
,,,,,,,2.0,3.0,2.0,3.0,,,,0.0,,,9sx_583645,-999,2025-11-25T15:15:46.341Z,5.0,3.0,5.0,3.0,7.0,6.0,6.0,11,0,7,8,8,3,1,5,2.0,1.0,3,2,4,4,4,4,3,1.0,1.0,5.0,3.0,2.0,6.0,1.0,9,5,1,0,4,1,2,2,7,3,6,7,3,6,0,1,5,3,2,6,6.0,0,0,1.0,1,,0,0,1,0,1,1,1,0,0.0,5.0,3.0,0.0,1.0,1.0,7.0,,,,3.3,6.0,4.0,5.0,6.0,5.0,3.0,5.0,5.0,2.0,3.0,,,,6.0,9sx,2025-11-25 14:58:34.899469
,,,,,,,3.0,2.0,4.0,4.0,,,,0.0,,,kq7_937158,-999,2025-11-25T15:21:50.364Z,4.0,1.0,7.0,6.0,5.0,5.0,5.0,11,4,8,8,6,4,1,5,2.0,1.0,4,3,4,4,4,4,2,1.0,2.0,4.0,4.0,7.0,10.0,8.0,7,0,0,0,4,1,1,4,9,0,0,0,9,11,0,1,0,3,3,0,7.0,1,0,0.0,0,,0,0,1,0,1,1,1,0,7.0,3.0,2.0,0.0,5.0,3.0,6.0,,,,2.0,4.0,6.0,6.0,6.0,5.0,4.0,6.0,0.0,7.0,5.0,,,15.0,6.0,kq7,2025-11-25 15:10:20.957846
,,,,,,,4.0,4.0,4.0,4.0,,,,7.0,,,ff5_298889,-999,2025-11-25T15:21:01.724Z,4.0,1.0,7.0,5.0,7.0,4.0,5.0,10,9,8,9,7,3,2,5,1.0,1.0,4,3,5,4,4,5,3,1.0,1.0,4.0,2.0,4.0,9.0,3.0,11,7,1,0,5,1,1,1,10,2,7,7,8,10,6,1,8,4,2,5,9.0,0,0,0.0,0,,0,0,1,0,1,1,1,1,3.0,3.0,2.0,0.0,4.0,3.0,5.0,,,,2.7,3.0,4.0,4.0,6.0,1.0,1.0,5.0,5.0,1.0,4.0,,,5.0,2.0,ff5,2025-11-25 15:11:04.744924
,,,,,,,4.0,4.0,3.0,3.0,,,,0.0,,,k05_854470,-999,2025-11-25T15:23:01.912Z,1.0,1.0,7.0,1.0,1.0,1.0,3.0,11,8,9,10,7,5,3,6,1.0,1.0,4,2,4,4,4,4,2,1.0,1.0,1.0,1.0,2.0,8.0,10.0,5,7,1,0,1,1,1,1,2,1,0,7,9,7,0,1,9,1,1,7,7.0,0,0,0.0,0,,0,0,1,0,1,1,1,1,6.0,3.0,3.0,0.0,2.0,2.0,3.0,,,,4.0,1.0,1.0,1.0,6.0,3.0,4.0,5.0,6.0,5.0,5.0,,,3.0,6.0,k05,2025-11-25 15:11:44.118716
,,,,,,,3.0,2.0,3.0,1.0,,,,20.0,super,,hpc_995246,-999,2025-11-25T15:18:41.078Z,0.0,5.0,5.0,1.0,3.0,3.0,2.0,6,5,6,0,0,4,4,1,1.0,1.0,1,1,4,2,2,1,4,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1,3,3,4,3,4,3,3,3,3,3,1,3,1,2,2,1,3,5,3,4.0,0,0,1.0,0,,1,0,1,0,1,1,1,1,6.0,3.0,2.0,0.0,5.0,3.0,1.0,,,,2.7,3.0,5.0,6.0,3.0,5.0,3.0,6.0,6.0,2.0,7.0,,,,6.0,hpc,2025-11-25 15:12:21.756096
,,,,,,,4.0,4.0,4.0,4.0,,,,4.0,,,8st_122102,-999,2025-11-25T15:19:06.573Z,6.0,5.0,3.0,7.0,7.0,6.0,7.0,11,3,7,8,6,2,1,4,2.0,2.0,4,3,4,3,4,4,3,3.0,1.0,11.0,11.0,9.0,1.0,1.0,0,4,7,5,10,1,2,4,9,3,6,3,1,2,0,2,6,6,10,6,7.0,0,0,0.0,0,,0,0,1,0,1,1,1,1,1.0,3.0,2.0,0.0,5.0,3.0,3.0,,,,3.0,3.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,,,2.0,2.0,8st,2025-11-25 15:13:24.636131
,,,,,,,3.0,3.0,3.0,3.0,,,,12.0,,,tz9_887123,-999,2025-11-25T15:25:02.052Z,2.0,1.0,4.0,1.0,3.0,3.0,,11,8,9,10,7,5,2,6,1.0,1.0,5,5,5,5,4,4,3,1.0,1.0,2.0,2.0,3.0,7.0,10.0,9,8,1,11,1,1,1,1,5,1,5,8,5,9,8,1,10,2,2,2,8.0,0,0,0.0,0,,0,0,1,0,1,1,1,0,6.0,3.0,2.0,0.0,4.0,3.0,5.0,,,,4.0,4.0,3.0,3.0,6.0,3.0,4.0,4.0,4.0,4.0,4.0,,,,5.0,tz9,2025-11-25 15:13:51.192665
,,,,,,,4.0,3.0,3.0,5.0,,,,0.0,,,v0p_333990,-999,2025-11-25T15:25:10.212Z,1.0,1.0,7.0,2.0,2.0,1.0,3.0,11,6,8,9,7,5,2,5,1.0,1.0,4,2,5,4,5,5,2,1.0,2.0,2.0,2.0,2.0,7.0,9.0,5,4,1,10,1,1,1,1,6,1,6,8,9,9,10,1,9,2,2,2,9.0,1,0,0.0,0,,1,0,1,0,1,1,1,1,6.0,3.0,3.0,0.0,2.0,2.0,5.0,,,,4.0,3.0,4.0,3.0,4.0,6.0,3.0,6.0,4.0,5.0,4.0,,,3.0,1.0,v0p,2025-11-25 15:16:35.940014
,,,,,,,4.0,3.0,4.0,5.0,,,,,,,2hp_631739,-999,2025-11-25T15:28:11.163Z,1.0,2.0,3.0,1.0,4.0,1.0,5.0,10,8,7,7,3,4,0,5,1.0,1.0,5,3,5,5,4,5,3,1.0,1.0,5.0,4.0,3.0,7.0,3.0,7,7,1,4,5,1,1,1,7,3,6,6,8,10,7,1,6,8,4,6,8.0,0,0,1.0,0,,0,0,1,1,1,1,1,1,7.0,3.0,3.0,0.0,2.0,2.0,6.0,,,,2.3,3.0,1.0,4.0,6.0,4.0,6.0,5.0,5.0,3.0,6.0,,,5.0,1.0,2hp,2025-11-25 15:18:09.129559
,,,,,,,4.0,3.0,4.0,3.0,,,,0.0,,,j1i_427319,-999,2025-11-25T15:27:33.286Z,4.0,2.0,4.0,4.0,4.0,4.0,2.0,11,9,8,8,7,4,2,5,1.0,1.0,4,2,4,4,4,3,2,1.0,1.0,2.0,2.0,4.0,8.0,10.0,6,6,1,6,2,2,2,1,3,6,6,5,10,7,6,1,7,4,2,6,7.0,0,0,0.0,0,,1,0,1,0,1,1,1,1,6.0,3.0,3.0,0.0,2.0,2.0,4.0,,,,3.0,5.0,5.0,3.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,,,1.0,6.0,j1i,2025-11-25 15:19:07.693195
